year,type,title,journal,publisher,authors,tags,sdg_tags,note,link,doi
2026,journal,Long-term effect of rice-rice and rice-cowpea systems on soil carbon and soil quality indicators under rice-based cropping systems in West Coast India,Soil Security,Elsevier,"Paramesh V, Kumar P, Bhattacharjee S, et al.","Soil Carbon|Coastal Agronomy|Cropping Systems","SDG 2|SDG 13|SDG 15",Investigated how different rice-based cropping systems affect long-term soil carbon and quality on India's west coast — directly relevant to coastal agricultural sustainability.,https://www.sciencedirect.com/science/article/pii/S2667006226000080,
2026,journal,Comparative Assessment of Ecosystem Services under Conservation Agriculture Agroforestry and Traditional Integrated Farming Systems in Tribal Regions of Central India,Environmental and Sustainability Indicators,Elsevier,"Pradhan A, Paramesha V, Bhattacharjee S, et al.","Ecosystem Services|Conservation Agriculture|Sustainability","SDG 2|SDG 13|SDG 15",Compared ecosystem services provided by different farming approaches in tribal regions — contributing to evidence-based policy for sustainable agriculture.,https://www.sciencedirect.com/science/article/pii/S2665972726001492,
2026,journal,Climate Change Trends and their Impact on Cropping Pattern in Cold Desert of India,International Journal of Environment and Climate Change,,"Pandey S, Bhattacharjee S, Ram H, et al.","Climate Change|Cold Desert|Cropping Patterns","SDG 2|SDG 13|SDG 15",Analysed climate change trends in Ladakh's cold desert and their effects on traditional cropping patterns — important for food security in fragile mountain ecosystems.,,
2025,journal,Assessing land degradation and drought vulnerability in the Trans-Gangetic Plains using Google Earth Engine and remote sensing for SDG 15.3.1 monitoring,Environmental Monitoring and Assessment,Springer,"Bhattacharjee S, Basavareddy, Rajput VD, Majumder D, Panja A, Kashyap S, Kumar R","Geospatial|Google Earth Engine|Land Degradation|SDG 15.3.1","SDG 2|SDG 13|SDG 15",Used GEE and multi-temporal remote sensing to map land degradation and drought vulnerability across the Trans-Gangetic Plains contributing directly to national SDG monitoring frameworks.,https://link.springer.com/article/10.1007/s10661-025-14371-1,https://doi.org/10.1007/s10661-025-14371-1
2025,journal,Assessing the impact of nutrient management on productivity economics soil quality energy efficiency and life cycle assessment in rice-based farming systems,Journal of Agriculture and Food Research,Elsevier,"Paramesha V, Kumar P, Bhattacharjee S, et al.","Rice Farming|Life Cycle Assessment|Sustainability","SDG 2|SDG 12|SDG 13",Comprehensive assessment of how nutrient management strategies affect multiple sustainability dimensions in rice farming systems.,https://www.sciencedirect.com/science/article/pii/S2666154325006490,
2025,journal,Impact of Seasonal Dynamics and Agronomic Practices on Soil Health Indicators: Arbuscular Mycorrhizal Fungi Glomalin-Related Soil Protein and Ergosterol,Eurasian Soil Science,Pleiades Publishing,"Bhattacharjee S, Rajput VD, Biswal B, Basak N, Kumar R","Soil Health|Mycorrhizal Fungi|Agronomy","SDG 2|SDG 12|SDG 15",Examined how seasons and farming practices affect key biological soil health markers — fungi proteins and ergosterol — providing insights for sustainable soil management.,https://link.springer.com/article/10.1134/S1064229324604165,
2025,journal,Optimizing Oat (Avena sativa L.) Production Strategies to Mitigate Nitrate Toxicity Without Compromising Fodder Quality,International Journal of Agronomy,Wiley,"Pyati PS, Bhattacharjee S, Kumar R, Ram H, et al.","Fodder Quality|Oat Production|Nitrate Toxicity","SDG 2|SDG 3|SDG 15",Identified agronomic strategies to reduce nitrate toxicity in fodder oats while maintaining high nutritional quality — a critical issue for livestock safety.,,
2025,journal,Soil quality enhancement in arecanut-based agroforestry system: Insights from organic farming and integrated nutrient management,The Indian Journal of Agricultural Sciences,,"Paramesh V, Kumar P, Kumar RM, Bhattacharjee S, et al.","Agroforestry|Soil Quality|Organic Farming","SDG 2|SDG 13|SDG 15",Evaluated how organic and integrated nutrient management improves soil quality in arecanut agroforestry — a common coastal farming system.,,
2025,journal,Impact of Agronomic Management Practices on Quality and Productivity of Fodder Crops: A Review,Agricultural Reviews,,"Prasanna SP, Choudhary M, Bhattacharjee S, Praveen BR, Naik VS","Fodder Crops|Agronomy|Review","SDG 2|SDG 12|SDG 15",Synthesised research on how agronomic practices influence the productivity and nutritional quality of fodder crops.,,
2025,journal,Optimizing varietal selection and cutting intervals for enhanced fodder productivity quality and energy content in multi-cut oats,Indian Journal of Animal Sciences,,"Bhakuni K, Sabal SK, Bhattacharjee S, Kumar R, et al.","Fodder Oats|Livestock Systems|Varietal Selection","SDG 2|SDG 12|SDG 15",Compared oat varieties and cutting schedules to maximise fodder yield and energy content for dairy and livestock systems.,,
2024,journal,From garbage to global warming: a bibliometric analysis of greenhouse gas emissions from municipal solid waste and its relationship with climate change,Environment Development and Sustainability,Springer,"Bhattacharjee S, Panja A, Majumder D, Hindorya PS, Kumar R","Bibliometrics|Climate Change|Municipal Solid Waste","SDG 11|SDG 12|SDG 13",Mapped 50 years of global research on waste-related greenhouse gas emissions using bibliometric analysis — identifying key trends and future research directions.,https://link.springer.com/article/10.1007/s10668-023-04145-5,
2024,journal,Climate adaptation in agricultural sector of coastal India: a comprehensive exploration of adaptation strategies,Mitigation and Adaptation Strategies for Global Change,Springer,"Panja A, Garai S, Bhattacharjee S, et al.","Climate Adaptation|Coastal Agriculture|Policy","SDG 1|SDG 2|SDG 13",Comprehensively reviewed climate adaptation strategies available for coastal Indian agriculture — a timely and policy-relevant contribution.,,
